
|PKG_NAME                      |MODEL_NAME                                        |SCHEMA_NAME         |TABLE_NAME                              |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL                            |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL                            |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL                            |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL                            |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL                            |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL_WO_MIGO                    |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL_WO_MIGO                    |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL_WO_MIGO                    |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE_WO_MIGO                          |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE_WO_MIGO                          |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE_WO_MIGO                          |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE_WO_MIGO                          |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE_WO_MIGO                          |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE_WO_MIGO                          |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_MARD_OPBAL                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MARD_OPBAL                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_MARD_OPBAL                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MAX_BUDAT                                      |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MAX_BUDAT                                      |SAPABAP1            |MSEG                                    |
